source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]	factor value[submitted condition]	factor value[multiplex set]
Pool_Pool_B1	Homo sapiens	cell culture	Pool	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F2_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	2	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Pool	Pool	B1
U937_C_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C	B2
U937_P_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P	B2
U937_C-DON_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C-DON	B2
U937_P-DON_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P-DON	B2
U1_C_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C	B2
U1_P_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P	B2
U1_C-DON_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C-DON	B2
U1_P-DON_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P-DON	B2
Pool_Pool_B2	Homo sapiens	cell culture	Pool	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	4	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Pool	Pool	B2
U1_C_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C	B1
U1_P_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P	B1
U1_C-DON_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C-DON	B1
U1_P-DON_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P-DON	B1
U937_C_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C	B1
U937_P_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P	B1
U937_C-DON_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C-DON	B1
U937_P-DON_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P-DON	B1
Pool_Pool_B1	Homo sapiens	cell culture	Pool	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Pool	Pool	B1
U1_C-DON_B3	Homo sapiens	cell culture	U1	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C-DON	B3
U1_P-DON_B3	Homo sapiens	cell culture	U1	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P-DON	B3
U1_C_B3	Homo sapiens	cell culture	U1	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C	B3
U1_P_B3	Homo sapiens	cell culture	U1	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P	B3
U937_C-DON_B3	Homo sapiens	cell culture	U937	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C-DON	B3
U937_P-DON_B3	Homo sapiens	cell culture	U937	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P-DON	B3
U937_C_B3	Homo sapiens	cell culture	U937	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C	B3
U937_P_B3	Homo sapiens	cell culture	U937	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P	B3
Pool_Pool_B3	Homo sapiens	cell culture	Pool	3	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	9	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B3_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Pool	Pool	B3
U1_C_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C	B1
U1_P_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P	B1
U1_C-DON_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C-DON	B1
U1_P-DON_B1	Homo sapiens	cell culture	U1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P-DON	B1
U937_C_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C	B1
U937_P_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P	B1
U937_C-DON_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C-DON	B1
U937_P-DON_B1	Homo sapiens	cell culture	U937	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P-DON	B1
Pool_Pool_B1	Homo sapiens	cell culture	Pool	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B1_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Pool	Pool	B1
U937_C_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C	B2
U937_P_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P	B2
U937_C-DON_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT127C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	C-DON	B2
U937_P-DON_B2	Homo sapiens	cell culture	U937	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U937	P-DON	B2
U1_C_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT128C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C	B2
U1_P_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P	B2
U1_C-DON_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT129C	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	C-DON	B2
U1_P-DON_B2	Homo sapiens	cell culture	U1	2	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	TMT130N	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20210329_L1_nUT2_ES803A_TMT_U1_U937_cells_B2_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	U1	P-DON	B2
