source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment type]	factor value[Ncf1 genotype]
PISA_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac01_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac01_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
PISA_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac01_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
expression_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac01_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac01_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac01_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac01_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac01_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac01_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT131N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	PisaRex_NCF1_Frac01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
PISA_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac03_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac03_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac03_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
PISA_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac03_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
expression_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac03_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac03_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac03_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac03_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac03_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac03_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT131N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	3	1	PisaRex_NCF1_Frac03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
PISA_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac16_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac16_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac16_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
PISA_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac16_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
expression_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac16_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac16_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac16_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac16_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac16_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac16_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT131N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	16	1	PisaRex_NCF1_Frac16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
PISA_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac14_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac14_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac14_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
PISA_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac14_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
expression_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac14_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac14_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac14_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac14_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac14_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
expression_Ncf1_mutant_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac14_TMT131N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT131N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	14	1	PisaRex_NCF1_Frac14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	Ncf1 mutant
PISA_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac06_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac06_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	wild type
PISA_Ncf1_mutant_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac06_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
PISA_Ncf1_mutant_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac06_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	PISA	Ncf1 mutant
expression_wild_type_1	Mus musculus	cell culture	plasmacytoid dendritic cell	1	PisaRex_NCF1_Frac06_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_2	Mus musculus	cell culture	plasmacytoid dendritic cell	2	PisaRex_NCF1_Frac06_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
expression_wild_type_3	Mus musculus	cell culture	plasmacytoid dendritic cell	3	PisaRex_NCF1_Frac06_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	6	1	PisaRex_NCF1_Frac06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	expression	wild type
